Distance (mm),Temperature (K),O2 (mol/min),CH4 (mol/min),H2 (mol/min),CO (mol/min),CO2 (mol/min),H2O (mol/min)
6.0,402.60219915695956,0.030659510655090746,0.06199999999999996,0.0,0.0,0.0,-4.5872083682903974e-05
6.19,407.5140761424839,0.03018516179952642,0.06199999999999996,0.0,0.0,0.0,0.0002941789686010615
6.38,414.3582454301749,0.03022541436464086,0.06199999999999996,0.0,0.0,0.0,0.0003938086358894036
6.57,420.68095315184536,0.03073291239147591,0.06207663197729418,0.0,0.0,0.0,0.000183877218103195
6.76,429.4635295374276,0.031085714285714265,0.06177918637653733,0.0,0.0,0.0,0.0002042531012196386
6.95,439.1697652433412,0.03099999999999998,0.06123467562223404,0.0,0.0,0.0,0.0007528018942383574
7.140000000000001,448.4333644733307,0.03099999999999998,0.06116063525940801,0.0,0.0,0.0,0.001167166535122337
7.33,456.457612871733,0.031037411207576932,0.06166701789469432,0.0,0.0,-3.8767042086544126e-05,0.0007401736385161811
7.52,466.1003584286976,0.030900321317288645,0.062038591740013506,0.0,0.0,6.935388263189033e-05,0.00017094720591168965
7.71,476.99019031063926,0.030588138566677994,0.06203551145106505,0.0,0.0,0.0004768227622999398,0.00024221543315271346
7.9,487.5174635138276,0.03056721366664545,0.06199079102715462,0.0,0.0,0.0008979253112033187,0.00044959007217026476
8.09,497.90495509044797,0.030837546617191017,0.061599881936245535,0.0,0.0,0.0010469472436277411,0.0005752021001826214
8.280000000000001,508.5117016495806,0.031049966147596458,0.061120425029515896,0.0,0.0,0.00100063025210084,0.0005921628632605776
8.47,521.4363932942272,0.031007792207792186,0.06126103896103892,0.0,0.0,0.0010579831932773095,0.0009612685188890322
8.66,534.9437441671407,0.03102609257961953,0.06157685950413219,0.0,0.0,0.0008401260504201664,0.0010940950714910464
8.85,550.4672298382974,0.03072679851269061,0.0614131070335992,0.0,0.0,0.0003974789915966375,0.001519016083254493
9.04,565.7437309773827,0.030644349841030313,0.061120417202084665,0.0,0.0,1.5756302521008437e-05,0.0019022271936106005
9.23,583.5673486482493,0.030778746564638658,0.06144060921124633,0.0,0.0,-2.0668929823585107e-05,0.0014985652085282495
9.42,605.0741652870959,0.03105726141078836,0.061933850995752326,0.0,0.0,4.0302743614002156e-05,0.0006030525253897943
9.61,630.4719794204586,0.03101601255886968,0.062457287515059634,0.0,0.0,-0.00020056764427625352,1.9284224611508538e-05
9.8,659.6711319718688,0.031045505109838105,0.06302867267913645,0.0,0.0,-0.0005805108798486289,-0.00013685872138910845
9.99,697.6875120770134,0.030688448542942375,0.06256738221837564,0.0,0.0,-0.0005842951750236536,6.010684443632521e-05
10.18,748.361173815275,0.02987407653840953,0.06114013377563787,0.0,0.0,-0.00020662251655629278,0.00130785322460577
10.370000000000001,807.8280608683114,0.028361512470500148,0.05949093230537673,-9.938650306748468e-05,0.0,-1.5326395458846373e-05,0.0036725465420054814
10.56,867.3619875157624,0.02594407211434818,0.05818512402741895,0.0002022076664052756,-8.571428571428585e-05,0.00011051950581557056,0.006760241668915475
10.75,927.5757721491618,0.022631479400448164,0.05647034834950888,0.0010595304211448873,0.00015630252100840453,0.0005765902387445053,0.009603865610608532
10.940000000000001,980.9756374372694,0.018318787705800678,0.05461846195431812,0.002200818411962781,0.00091433878814683,0.0013499485224553389,0.012805455952837028
11.129999999999999,1030.9867407427228,0.014341141717145827,0.05204060499576106,0.003415746636328983,0.00218571985519353,0.0018658216929155749,0.016184118487515733
11.32,1070.823971723205,0.011102953157619014,0.049418496357001525,0.005205750111631739,0.0037660546791816064,0.0020560924369747865,0.019730809227710314
11.51,1108.4092863382805,0.009102327524691069,0.04711414696939764,0.00764021259463012,0.005539449495197684,0.00200126050420168,0.022410444984266385
11.7,1137.1255671464555,0.007197410934567206,0.045286667800248225,0.010124497139299755,0.007466838010057816,0.0019999999999999983,0.024145618896831395
11.89,1163.5214072936255,0.005481606966448353,0.04252695813690048,0.012652599903929054,0.009360318026200375,0.0019999999999999983,0.025249686381713463
12.08,1182.6273290401941,0.0036371728597040485,0.03868052222998466,0.015677643790403314,0.012360048504991833,0.0019999999999999983,0.026998983466468177
12.27,1198.265008122487,0.0023873999696838225,0.034998266668396505,0.019513193090983608,0.017022685779036574,0.0019999999999999983,0.028817005275783666
12.46,1211.0483626470432,0.0019359440091575742,0.03306410861865405,0.023666245083165706,0.02217564881176745,0.0019999999999999983,0.02934387821946987
12.65,1223.3522487768746,0.0019801104972375677,0.03283530106257377,0.026916412708549612,0.025652386571047,0.0019999999999999983,0.028205055506805982
12.84,1233.7702692719686,0.0019999999999999983,0.03333754427390789,0.028990239666907176,0.026993151582127742,0.0019999999999999983,0.02689201020515657
13.030000000000001,1241.1855761621175,0.002019415943172848,0.03386885711690905,0.030547532445332006,0.026931654379543212,0.0019999999999999983,0.02549373498935058
13.219999999999999,1245.6374929137173,0.002008050513022887,0.03392610636117127,0.032173919461229744,0.026344841269841254,0.0019999999999999983,0.02408018452810731
13.41,1249.3926910441837,0.0016328334648776624,0.03307174857481039,0.03405105852565973,0.025929082510197043,0.0019999999999999983,0.0231504255611905
13.6,1253.0416323807526,0.001206696416882062,0.03225846063973822,0.03585878852972679,0.026345390891620142,0.0019999999999999983,0.022809672317391
13.79,1255.294732078449,0.0009105466134504375,0.031556286176813615,0.03803571260542386,0.02730229182362858,0.0019999999999999983,0.022470215633423163
13.98,1255.302262667718,0.0005574051572231147,0.030806674280610565,0.0405280892425136,0.028503691539687646,0.0019999999999999983,0.022064690026954163
14.17,1255.2261362220709,0.00018744098248193972,0.02967997283528912,0.04325578586990349,0.029630782785183794,0.0019999999999999983,0.02198799133889448
14.36,1255.2966098286931,0.0004238647814288616,0.028741682583044215,0.045512493500013025,0.03049512062364498,0.0019999999999999983,0.02200040622884223
14.55,1254.3750945618979,0.0007602408567978778,0.028038930761424823,0.04772523941474839,0.031108769946479282,0.0019999999999999983,0.02161530128639132
14.74,1251.9975607720894,0.000523633550599265,0.02753245357641567,0.04976126620935027,0.031706360317408575,0.0019999999999999983,0.020800947867298563
14.93,1249.9552680854858,6.393054459352634e-05,0.027035990528808188,0.05132528380677421,0.03264592674346415,0.0019999999999999983,0.020195994460004987
15.120000000000001,1248.48741216898,-3.7411207576953115e-05,0.02649319024302657,0.05269224028094888,0.03350698765261777,0.0019999999999999983,0.0197481819433246
15.31,1247.484637816645,0.0,0.025998509746125657,0.05411088111985029,0.033967162861281625,0.0019999999999999983,0.01936194427978659
15.5,1245.9511344093773,0.0,0.02545345313218894,0.05528285852881047,0.03403789473684208,0.0019999999999999983,0.018988263189093052
15.69,1244.2340264306306,0.0,0.02513225650449752,0.05615644502962471,0.03391428571428569,0.0019999999999999983,0.018996799051570822
15.88,1241.4968825088067,0.0,0.024847548118773558,0.05712231731402235,0.03425714285714283,0.0019999999999999983,0.019021695317130986
16.07,1238.525500391319,0.0,0.024465306122448963,0.05814285714285709,0.034742857142857124,0.0019999999999999983,0.018667575577949014
16.259999999999998,1235.783013420727,0.0,0.0240612244897959,0.05917218045112778,0.03505450954575376,0.0019999999999999983,0.0182120924718435
16.45,1232.3746875612933,0.0,0.024014599686028242,0.059810526315789425,0.0350391046741277,0.0019999999999999983,0.01794096028452874
16.64,1227.8625784401265,0.0,0.023880376766091036,0.06034366807070026,0.035410511070302464,0.0019999999999999983,0.017997154712507395
16.83,1224.0363187221933,3.108320251177479e-05,0.02345196232339088,0.061068184860055844,0.035875796403450996,0.0019999999999999983,0.017999999999999988
17.02,1222.117164407996,-3.8618524332813104e-05,0.023129942669800584,0.062183124040467615,0.03644458473372368,0.0019999999999999983,0.017999999999999988
17.21,1220.1600277893385,-0.00043328100470958037,0.022738785050781883,0.06294653072471751,0.036851929824561376,0.0019999999999999983,0.017999999999999988
17.4,1215.4287007914231,-0.000880127958295077,0.022299672697756002,0.06282276581506117,0.037122656641603975,0.0019999999999999983,0.017999999999999988
17.59,1210.3521388510776,-0.0010885933473534538,0.021868628734518593,0.062264812030075146,0.036564026733500385,0.0019999999999999983,0.017999999999999988
17.78,1207.0060526221607,-0.0006695417789757406,0.02221936955976911,0.06191969924812026,0.0357939348370927,0.0019999999999999983,0.01806905890318211
17.97,1205.0128270197008,-0.00020539083557951444,0.02263504255331052,0.06199864661654131,0.035503208020050095,0.0019999999999999983,0.01787965135744417
18.16,1202.3521882384466,7.277628032345021e-05,0.023220696408287948,0.0620308097432521,0.03583533834586464,0.0019999999999999983,0.0170927689778062
18.35,1199.2989377727954,0.0,0.023701735060280834,0.061962475312705684,0.03605955510897056,0.0019571428571428556,0.016495516602557884
18.54,1196.2803979928285,0.0,0.023702283839406146,0.06154526107896465,0.03604660961158654,0.0020857142857142845,0.0165783478539064
18.73,1193.1670990644675,0.0,0.023526352574070337,0.06114021967360794,0.03570649805934642,0.002509366130558182,0.017052247500512048
18.92,1190.6549165494487,0.0,0.0236083308298995,0.0613124694224039,0.03526117036959249,0.002940113528855248,0.01682836965927891
19.11,1189.505425316352,0.0,0.024018702668286786,0.06181079241883506,0.03456465855487151,0.002822327341532633,0.016347209082308405
19.3,1188.8506356054354,0.0,0.024014624238320903,0.062340784449603226,0.0342605134276986,0.002346736045411534,0.01602637939344173
19.490000000000002,1187.7754869711252,0.0,0.023999999999999983,0.06343568136932187,0.03438344757599519,0.002013339640491954,0.015875750165116644
19.68,1186.3258793523455,0.0,0.023999999999999983,0.06444541977487607,0.03483444935869083,0.0019775780510879843,0.015499056603773575
19.87,1184.739858588699,0.0,0.023999999999999983,0.06564465401438624,0.03516145068553736,0.0019999999999999983,0.015024258760107802
20.060000000000002,1182.525524896903,0.0,0.023999999999999983,0.06638449092678825,0.03547616541353382,0.0019983827493261453,0.014530862533692707
20.25,1179.6996437003745,0.0,0.02406298342541435,0.06738913234005255,0.036091977001326825,0.001928032345013471,0.01420458221024258
20.439999999999998,1177.8152867729418,0.0,0.023833780584056805,0.06776757230499558,0.03663114108801412,0.00223719676549865,0.01363834966339213
20.630000000000003,1177.2440919431274,0.0,0.023454636022935734,0.06849482909728305,0.03689714285714283,0.0027080862533692737,0.013485684904382914
20.82,1177.1692926201752,0.0,0.02281618361149295,0.06885013146362837,0.03727609022556388,0.003119676549865232,0.01359809404580931
21.009999999999998,1175.7659438050096,0.0,0.022330911523806028,0.06905889570552143,0.03773263157894734,0.0028342318059299196,0.014015064958291273
21.2,1173.419635010658,1.8571428571426315e-05,0.022066223074792085,0.06899999999999996,0.038162107108261414,0.0023762803234501388,0.014015842924847656
21.39,1171.6818221302,-3.3783359497635496e-05,0.02173340476800283,0.06891638913234002,0.03774399040206037,0.001998382749326148,0.013999999999999992
21.58,1170.2971538176416,-0.0002672475143903605,0.021267876874506694,0.06922617279394802,0.03722126762440576,0.00197897574123989,0.013999999999999992
21.77,1168.0780456495781,-0.00030379905808476594,0.02092186266771901,0.069735449052078,0.03722500353396849,0.0019999999999999983,0.013999999999999992
21.96,1165.9113459672415,-0.0001434379905808519,0.020998105761641662,0.07046226301951192,0.03776814016324913,0.0019999999999999983,0.013999999999999992
22.15,1165.1164606156267,4.050235478806963e-05,0.020999999999999987,0.0708351861248212,0.03807030941408819,0.0019999999999999983,0.013999999999999992
22.34,1165.365999999999,0.0,0.020999999999999987,0.07106315789473677,0.038001579986833414,0.0019999999999999983,0.013999999999999992
22.53,1165.5758399368578,0.0,0.020999999999999987,0.07099999999999994,0.0379282706766917,0.0019999999999999983,0.013999999999999992
22.72,1164.7832688239928,0.0,0.02100284135753748,0.07099999999999994,0.038201203007518766,0.0019999999999999983,0.013999999999999992
22.91,1163.4070213101807,0.0,0.021074348855564314,0.07099999999999994,0.03866360902255636,0.0019999999999999983,0.013999999999999992
23.1,1162.30252596685,0.0,0.02072675611681135,0.07099999999999994,0.039029774436090195,0.0019999999999999983,0.013999999999999992
23.29,1162.3252113654294,0.0,0.02024577742699288,0.07099999999999994,0.03901398496240599,0.0019999999999999983,0.013999999999999992
23.48,1162.3719999999992,0.0,0.019917127071823193,0.07099999999999994,0.03899999999999998,0.001996877956480604,0.013999999999999992
23.67,1162.3719999999992,0.0,0.019999999999999987,0.07099999999999994,0.03899999999999998,0.0019554399243140942,0.013999999999999992
23.86,1162.3719999999992,0.0,0.020048341232227474,0.07099999999999994,0.03899999999999998,0.002191693315714988,0.013963845633039935
24.05,1162.3719999999992,0.0,0.01989234935680432,0.07099999999999994,0.03899999999999998,0.0025525266425326593,0.014058903182125923
24.240000000000002,1162.3719999999992,0.0,0.01946892349356803,0.07099999999999994,0.03899999999999998,0.002532154780800171,0.014462017603249822
24.43,1162.3719999999992,0.0,0.01906377792823289,0.07099999999999994,0.03899999999999998,0.0021597168033652032,0.014887474610697352
24.62,1162.3719999999992,0.0,0.01896262694651319,0.07099999999999994,0.03899999999999998,0.0019458087367178268,0.015049559918754219
24.81,1162.3719999999992,0.0,0.01899999999999999,0.07099999999999994,0.03899999999999998,0.0019999999999999983,0.014999999999999989
25.0,1162.3719999999992,0.0,0.01899999999999999,0.07099999999999994,0.03899999999999998,0.0019999999999999983,0.014999999999999989
